"Hits: 15","page_num: 1","page_size: 2000","Keyword Version: 20.5","Revision: 2025-01-22 17:35:03","Timestamp: 2025-02-07 12:10:42","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/horizontalresolutionrange/?format=xml","Case native"
Horizontal_Resolution_Range,UUID
"1 km - < 10 km or approximately .01 degree - < .09 degree","6dd8224f-944e-4798-ac48-44c23a567eeb"
"1 meter - < 30 meters","abf43d91-a65d-4b3b-a6dd-593e211b2c7b"
"10 km - < 50 km or approximately .09 degree - < .5 degree","3b36beea-9637-4213-bdbe-42e878ca14df"
"100 km - < 250 km or approximately 1 degree - < 2.5 degrees","2207b375-113b-4499-a5a6-0ae6edc2aae8"
"100 meters - < 250 meters","8d197170-3639-4850-b012-0cae4a288e2b"
"250 km - <  500 km  or approximately  2.5 degrees - < 5.0 degrees","8d520e8b-e1c6-4c18-bf8a-7a41b006f66f"
"250 meters - < 500 meters","e5c4876e-47b7-4d53-90a2-081a6b150140"
"30 meters - < 100 meters","437daa1f-f584-4afc-9104-b245f3a3d26d"
"50 km  - < 100 km or approximately .5 degree - < 1 degree","35a7a6f2-69fe-4ba7-a2b5-91f83f52afb3"
"500 km - < 1000 km or approximately 5 degrees - < 10 degrees","e2d588c7-76a5-4655-bfaf-bf66874b61c4"
"500 meters - < 1 km","9e5ebee1-3ba2-4522-8d90-7ddf47987581"
"< 1 meter","08e4b31c-0be3-49cd-9374-caac345e7402"
"> 1000 km or > 10 degrees","c19001e4-dfbf-491b-b6d5-c4d0cee8f2fe"
"Point Resolution","75c9d806-9e29-40f5-b479-4c63c90f77a9"
